"model_id","email","address","mob_no"
1,"a1@gmail.com","itwari",9822
2,"b2@gmail.com","lalganj",7517
3,"c3@gmail.com","shantinagar",7558
4,"d4@gmail.com","ajni",9767
5,"e5@gmail.com","besa",8765
6,"f6@gmail.com","ambhora",9435
7,"g7@gmail.com","aroli",7843
8,"h8@gmail.com","bela",9268
9,"i9@gmail.com","borda",7510
10,"j10@gmail.com","bina",6419
11,"k11@gmail.com","bhiwapur",9416
12,"l12@gmail.com","borgaon",3279
13,"m13@gmail.com","nandanvan",7610
14,"n14@gmail.com","ramtek",9514
15,"o15@gmail.com","saoner",4562
16,"p16@gmail.com","bhiwapur",722
17,"q17@gmail.com","mouda",6290
18,"r18@gmail.com","umred",5722
19,"s19@gmail.com","hingna",9875
20,"t20@gmail.com","kuhi",6307
